locus_tag	ftype	length_bp	gene	EC_number	COG	product
IENKKHDG_00162	CDS	123				hypothetical protein
IENKKHDG_00163	CDS	129				hypothetical protein
IENKKHDG_00164	CDS	174				hypothetical protein
IENKKHDG_00165	CDS	123				hypothetical protein
IENKKHDG_00166	CDS	129				hypothetical protein
IENKKHDG_00167	CDS	174				hypothetical protein
IENKKHDG_00168	CDS	123				hypothetical protein
IENKKHDG_00169	CDS	129				hypothetical protein
IENKKHDG_00170	CDS	174				hypothetical protein
IENKKHDG_00171	CDS	123				hypothetical protein
IENKKHDG_00172	CDS	129				hypothetical protein
IENKKHDG_00173	CDS	174				hypothetical protein
IENKKHDG_00174	CDS	174				hypothetical protein
IENKKHDG_00175	CDS	123				hypothetical protein
IENKKHDG_00176	CDS	129				hypothetical protein
IENKKHDG_00177	CDS	174				hypothetical protein
IENKKHDG_00178	CDS	174				hypothetical protein
IENKKHDG_00179	CDS	174				hypothetical protein
IENKKHDG_00180	CDS	174				hypothetical protein
IENKKHDG_00181	CDS	174				hypothetical protein
IENKKHDG_00182	CDS	123				hypothetical protein
IENKKHDG_00183	CDS	129				hypothetical protein
IENKKHDG_00184	CDS	180				hypothetical protein
IENKKHDG_00185	CDS	138				hypothetical protein
IENKKHDG_00186	CDS	129				hypothetical protein
IENKKHDG_00187	CDS	174				hypothetical protein
IENKKHDG_00188	CDS	123				hypothetical protein
IENKKHDG_00189	CDS	129				hypothetical protein
IENKKHDG_00190	CDS	174				hypothetical protein
IENKKHDG_00191	CDS	174				hypothetical protein
IENKKHDG_00192	CDS	174				hypothetical protein
IENKKHDG_00193	CDS	174				hypothetical protein
IENKKHDG_00194	CDS	180				hypothetical protein
IENKKHDG_00195	CDS	138				hypothetical protein
IENKKHDG_00196	CDS	129				hypothetical protein
IENKKHDG_00197	CDS	153				hypothetical protein
IENKKHDG_00198	CDS	123				hypothetical protein
IENKKHDG_00199	CDS	129				hypothetical protein
IENKKHDG_00200	CDS	174				hypothetical protein
IENKKHDG_00201	CDS	174				hypothetical protein
IENKKHDG_00202	CDS	123				hypothetical protein
IENKKHDG_00203	CDS	129				hypothetical protein
IENKKHDG_00204	CDS	174				hypothetical protein
IENKKHDG_00205	CDS	123				hypothetical protein
IENKKHDG_00206	CDS	129				hypothetical protein
IENKKHDG_00207	CDS	174				hypothetical protein
IENKKHDG_00208	CDS	123				hypothetical protein
IENKKHDG_00209	CDS	129				hypothetical protein
IENKKHDG_00210	CDS	174				hypothetical protein
IENKKHDG_00211	CDS	123				hypothetical protein
IENKKHDG_00212	CDS	129				hypothetical protein
IENKKHDG_00213	CDS	174				hypothetical protein
IENKKHDG_00214	CDS	123				hypothetical protein
IENKKHDG_00215	CDS	129				hypothetical protein
IENKKHDG_00216	CDS	174				hypothetical protein
IENKKHDG_00217	CDS	123				hypothetical protein
IENKKHDG_00218	CDS	129				hypothetical protein
IENKKHDG_00219	CDS	174				hypothetical protein
IENKKHDG_00220	CDS	174				hypothetical protein
IENKKHDG_00221	CDS	123				hypothetical protein
IENKKHDG_00222	CDS	129				hypothetical protein
IENKKHDG_00223	CDS	174				hypothetical protein
IENKKHDG_00224	CDS	123				hypothetical protein
IENKKHDG_00225	CDS	129				hypothetical protein
IENKKHDG_00226	CDS	174				hypothetical protein
IENKKHDG_00227	CDS	213				hypothetical protein
IENKKHDG_00228	CDS	174				hypothetical protein
IENKKHDG_00229	CDS	174				hypothetical protein
IENKKHDG_00230	CDS	174				hypothetical protein
IENKKHDG_00231	CDS	174				hypothetical protein
IENKKHDG_00232	CDS	123				hypothetical protein
IENKKHDG_00233	CDS	129				hypothetical protein
IENKKHDG_00234	CDS	174				hypothetical protein
IENKKHDG_00235	CDS	123				hypothetical protein
IENKKHDG_00236	CDS	129				hypothetical protein
IENKKHDG_00237	CDS	174				hypothetical protein
IENKKHDG_00238	CDS	132				hypothetical protein
IENKKHDG_00239	CDS	123				hypothetical protein
IENKKHDG_00240	CDS	129				hypothetical protein
IENKKHDG_00241	CDS	174				hypothetical protein
IENKKHDG_00242	CDS	123				hypothetical protein
IENKKHDG_00243	CDS	129				hypothetical protein
IENKKHDG_00244	CDS	174				hypothetical protein
IENKKHDG_00245	CDS	123				hypothetical protein
IENKKHDG_00246	CDS	129				hypothetical protein
IENKKHDG_00247	CDS	174				hypothetical protein
IENKKHDG_00248	CDS	123				hypothetical protein
IENKKHDG_00249	CDS	129				hypothetical protein
IENKKHDG_00250	CDS	174				hypothetical protein
IENKKHDG_00251	CDS	174				hypothetical protein
IENKKHDG_00252	CDS	129				hypothetical protein
IENKKHDG_00253	CDS	174				hypothetical protein
IENKKHDG_00254	CDS	123				hypothetical protein
IENKKHDG_00255	CDS	129				hypothetical protein
IENKKHDG_00256	CDS	174				hypothetical protein
IENKKHDG_00257	CDS	123				hypothetical protein
IENKKHDG_00258	CDS	129				hypothetical protein
IENKKHDG_00259	CDS	174				hypothetical protein
IENKKHDG_00260	CDS	123				hypothetical protein
IENKKHDG_00261	CDS	129				hypothetical protein
IENKKHDG_00262	CDS	174				hypothetical protein
IENKKHDG_00263	CDS	123				hypothetical protein
IENKKHDG_00264	CDS	129				hypothetical protein
IENKKHDG_00265	CDS	174				hypothetical protein
IENKKHDG_00266	CDS	174				hypothetical protein
IENKKHDG_00267	CDS	174				hypothetical protein
IENKKHDG_00268	CDS	123				hypothetical protein
IENKKHDG_00269	CDS	129				hypothetical protein
IENKKHDG_00270	CDS	174				hypothetical protein
IENKKHDG_00271	CDS	123				hypothetical protein
IENKKHDG_00272	CDS	129				hypothetical protein
IENKKHDG_00273	CDS	174				hypothetical protein
IENKKHDG_00274	CDS	123				hypothetical protein
IENKKHDG_00275	CDS	129				hypothetical protein
IENKKHDG_00276	CDS	174				hypothetical protein
IENKKHDG_00277	CDS	123				hypothetical protein
IENKKHDG_00278	CDS	129				hypothetical protein
IENKKHDG_00279	CDS	174				hypothetical protein
IENKKHDG_00280	CDS	180				hypothetical protein
IENKKHDG_00281	CDS	105				hypothetical protein
IENKKHDG_00282	CDS	129				hypothetical protein
IENKKHDG_00283	CDS	174				hypothetical protein
IENKKHDG_00284	CDS	123				hypothetical protein
IENKKHDG_00285	CDS	129				hypothetical protein
IENKKHDG_00286	CDS	174				hypothetical protein
IENKKHDG_00287	CDS	123				hypothetical protein
IENKKHDG_00288	CDS	129				hypothetical protein
IENKKHDG_00289	CDS	174				hypothetical protein
IENKKHDG_00290	CDS	123				hypothetical protein
IENKKHDG_00291	CDS	129				hypothetical protein
IENKKHDG_00292	CDS	174				hypothetical protein
IENKKHDG_00293	CDS	174				hypothetical protein
IENKKHDG_00294	CDS	174				hypothetical protein
IENKKHDG_00295	CDS	123				hypothetical protein
IENKKHDG_00296	CDS	129				hypothetical protein
IENKKHDG_00297	CDS	174				hypothetical protein
IENKKHDG_00298	CDS	174				hypothetical protein
IENKKHDG_00299	CDS	174				hypothetical protein
IENKKHDG_00300	CDS	174				hypothetical protein
IENKKHDG_00301	CDS	123				hypothetical protein
IENKKHDG_00302	CDS	129				hypothetical protein
IENKKHDG_00303	CDS	174				hypothetical protein
IENKKHDG_00304	CDS	174				hypothetical protein
IENKKHDG_00305	CDS	123				hypothetical protein
IENKKHDG_00306	CDS	129				hypothetical protein
IENKKHDG_00307	CDS	174				hypothetical protein
IENKKHDG_00308	CDS	180				hypothetical protein
IENKKHDG_00309	CDS	105				hypothetical protein
IENKKHDG_00310	CDS	129				hypothetical protein
IENKKHDG_00311	CDS	174				hypothetical protein
IENKKHDG_00312	CDS	123				hypothetical protein
IENKKHDG_00313	CDS	129				hypothetical protein
IENKKHDG_00314	CDS	174				hypothetical protein
IENKKHDG_00315	CDS	123				hypothetical protein
IENKKHDG_00316	CDS	129				hypothetical protein
IENKKHDG_00317	CDS	174				hypothetical protein
IENKKHDG_00318	CDS	174				hypothetical protein
IENKKHDG_00319	CDS	123				hypothetical protein
IENKKHDG_00320	CDS	129				hypothetical protein
IENKKHDG_00321	CDS	174				hypothetical protein
IENKKHDG_00322	CDS	123				hypothetical protein
IENKKHDG_00323	CDS	129				hypothetical protein
IENKKHDG_00324	CDS	174				hypothetical protein
IENKKHDG_00325	CDS	123				hypothetical protein
IENKKHDG_00326	CDS	129				hypothetical protein
IENKKHDG_00327	CDS	174				hypothetical protein
IENKKHDG_00328	CDS	174				hypothetical protein
IENKKHDG_00329	CDS	123				hypothetical protein
IENKKHDG_00330	CDS	129				hypothetical protein
IENKKHDG_00331	CDS	174				hypothetical protein
IENKKHDG_00332	CDS	123				hypothetical protein
IENKKHDG_00333	CDS	129				hypothetical protein
IENKKHDG_00334	CDS	174				hypothetical protein
IENKKHDG_00335	CDS	174				hypothetical protein
IENKKHDG_00336	CDS	123				hypothetical protein
IENKKHDG_00337	CDS	129				hypothetical protein
IENKKHDG_00338	CDS	174				hypothetical protein
IENKKHDG_00339	CDS	123				hypothetical protein
IENKKHDG_00340	CDS	129				hypothetical protein
IENKKHDG_00341	CDS	174				hypothetical protein
IENKKHDG_00342	CDS	123				hypothetical protein
IENKKHDG_00343	CDS	129				hypothetical protein
IENKKHDG_00344	CDS	174				hypothetical protein
IENKKHDG_00345	CDS	123				hypothetical protein
IENKKHDG_00346	CDS	129				hypothetical protein
IENKKHDG_00347	CDS	174				hypothetical protein
IENKKHDG_00348	CDS	123				hypothetical protein
IENKKHDG_00349	CDS	129				hypothetical protein
IENKKHDG_00350	CDS	174				hypothetical protein
IENKKHDG_00351	CDS	123				hypothetical protein
IENKKHDG_00352	CDS	129				hypothetical protein
IENKKHDG_00353	CDS	174				hypothetical protein
IENKKHDG_00354	CDS	123				hypothetical protein
IENKKHDG_00355	CDS	129				hypothetical protein
IENKKHDG_00356	CDS	174				hypothetical protein
IENKKHDG_00357	CDS	123				hypothetical protein
IENKKHDG_00358	CDS	129				hypothetical protein
IENKKHDG_00359	CDS	174				hypothetical protein
IENKKHDG_00360	CDS	174				hypothetical protein
IENKKHDG_00361	CDS	123				hypothetical protein
IENKKHDG_00362	CDS	129				hypothetical protein
IENKKHDG_00363	CDS	174				hypothetical protein
IENKKHDG_00364	CDS	174				hypothetical protein
IENKKHDG_00365	CDS	123				hypothetical protein
IENKKHDG_00366	CDS	129				hypothetical protein
IENKKHDG_00367	CDS	174				hypothetical protein
IENKKHDG_00368	CDS	114				hypothetical protein
IENKKHDG_00369	CDS	129				hypothetical protein
IENKKHDG_00370	CDS	174				hypothetical protein
IENKKHDG_00371	CDS	123				hypothetical protein
IENKKHDG_00372	CDS	129				hypothetical protein
IENKKHDG_00373	CDS	174				hypothetical protein
IENKKHDG_00374	CDS	174				hypothetical protein
IENKKHDG_00375	CDS	123				hypothetical protein
IENKKHDG_00376	CDS	129				hypothetical protein
IENKKHDG_00377	CDS	174				hypothetical protein
IENKKHDG_00378	CDS	123				hypothetical protein
IENKKHDG_00379	CDS	129				hypothetical protein
IENKKHDG_00380	CDS	174				hypothetical protein
IENKKHDG_00381	CDS	123				hypothetical protein
IENKKHDG_00382	CDS	129				hypothetical protein
IENKKHDG_00383	CDS	174				hypothetical protein
IENKKHDG_00384	CDS	123				hypothetical protein
IENKKHDG_00385	CDS	129				hypothetical protein
IENKKHDG_00386	CDS	174				hypothetical protein
IENKKHDG_00387	CDS	123				hypothetical protein
IENKKHDG_00388	CDS	129				hypothetical protein
IENKKHDG_00389	CDS	174				hypothetical protein
IENKKHDG_00390	CDS	174				hypothetical protein
IENKKHDG_00391	CDS	174				hypothetical protein
IENKKHDG_00392	CDS	123				hypothetical protein
IENKKHDG_00393	CDS	129				hypothetical protein
IENKKHDG_00394	CDS	174				hypothetical protein
IENKKHDG_00395	CDS	174				hypothetical protein
IENKKHDG_00396	CDS	123				hypothetical protein
IENKKHDG_00397	CDS	129				hypothetical protein
IENKKHDG_00398	CDS	174				hypothetical protein
IENKKHDG_00399	CDS	123				hypothetical protein
IENKKHDG_00400	CDS	129				hypothetical protein
IENKKHDG_00401	CDS	174				hypothetical protein
IENKKHDG_00402	CDS	123				hypothetical protein
IENKKHDG_00403	CDS	129				hypothetical protein
IENKKHDG_00404	CDS	174				hypothetical protein
IENKKHDG_00405	CDS	123				hypothetical protein
IENKKHDG_00406	CDS	129				hypothetical protein
IENKKHDG_00407	CDS	174				hypothetical protein
IENKKHDG_00408	CDS	123				hypothetical protein
IENKKHDG_00409	CDS	129				hypothetical protein
IENKKHDG_00410	CDS	174				hypothetical protein
IENKKHDG_00411	CDS	123				hypothetical protein
IENKKHDG_00412	CDS	129				hypothetical protein
IENKKHDG_00413	CDS	213				hypothetical protein
IENKKHDG_00414	CDS	174				hypothetical protein
IENKKHDG_00415	CDS	123				hypothetical protein
IENKKHDG_00416	CDS	129				hypothetical protein
IENKKHDG_00417	CDS	174				hypothetical protein
IENKKHDG_00418	CDS	123				hypothetical protein
IENKKHDG_00419	CDS	129				hypothetical protein
IENKKHDG_00420	CDS	174				hypothetical protein
IENKKHDG_00421	CDS	174				hypothetical protein
IENKKHDG_00422	CDS	174				hypothetical protein
IENKKHDG_00423	CDS	174				hypothetical protein
IENKKHDG_00424	CDS	123				hypothetical protein
IENKKHDG_00425	CDS	129				hypothetical protein
IENKKHDG_00426	CDS	174				hypothetical protein
IENKKHDG_00427	CDS	123				hypothetical protein
IENKKHDG_00428	CDS	129				hypothetical protein
IENKKHDG_00429	CDS	174				hypothetical protein
IENKKHDG_00430	CDS	123				hypothetical protein
IENKKHDG_00431	CDS	129				hypothetical protein
IENKKHDG_00432	CDS	174				hypothetical protein
IENKKHDG_00433	CDS	174				hypothetical protein
IENKKHDG_00434	CDS	123				hypothetical protein
IENKKHDG_00435	CDS	129				hypothetical protein
IENKKHDG_00436	CDS	174				hypothetical protein
IENKKHDG_00437	CDS	174				hypothetical protein
IENKKHDG_00438	CDS	123				hypothetical protein
IENKKHDG_00439	CDS	129				hypothetical protein
IENKKHDG_00440	CDS	174				hypothetical protein
IENKKHDG_00441	CDS	123				hypothetical protein
IENKKHDG_00442	CDS	129				hypothetical protein
IENKKHDG_00443	CDS	174				hypothetical protein
IENKKHDG_00444	CDS	123				hypothetical protein
IENKKHDG_00445	CDS	129				hypothetical protein
IENKKHDG_00446	CDS	174				hypothetical protein
IENKKHDG_00447	CDS	123				hypothetical protein
IENKKHDG_00448	CDS	129				hypothetical protein
IENKKHDG_00449	CDS	174				hypothetical protein
IENKKHDG_00450	CDS	123				hypothetical protein
IENKKHDG_00451	CDS	129				hypothetical protein
IENKKHDG_00452	CDS	174				hypothetical protein
IENKKHDG_00453	CDS	174				hypothetical protein
IENKKHDG_00454	CDS	174				hypothetical protein
IENKKHDG_00455	CDS	123				hypothetical protein
IENKKHDG_00456	CDS	129				hypothetical protein
IENKKHDG_00457	CDS	174				hypothetical protein
IENKKHDG_00458	CDS	123				hypothetical protein
IENKKHDG_00459	CDS	129				hypothetical protein
IENKKHDG_00460	CDS	174				hypothetical protein
IENKKHDG_00461	CDS	174				hypothetical protein
IENKKHDG_00462	CDS	123				hypothetical protein
IENKKHDG_00463	CDS	129				hypothetical protein
IENKKHDG_00464	CDS	174				hypothetical protein
IENKKHDG_00465	CDS	123				hypothetical protein
IENKKHDG_00466	CDS	129				hypothetical protein
IENKKHDG_00467	CDS	174				hypothetical protein
IENKKHDG_00468	CDS	174				hypothetical protein
IENKKHDG_00469	CDS	174				hypothetical protein
IENKKHDG_00470	CDS	174				hypothetical protein
IENKKHDG_00471	CDS	123				hypothetical protein
IENKKHDG_00472	CDS	129				hypothetical protein
IENKKHDG_00473	CDS	174				hypothetical protein
IENKKHDG_00474	CDS	123				hypothetical protein
IENKKHDG_00475	CDS	129				hypothetical protein
IENKKHDG_00476	CDS	174				hypothetical protein
IENKKHDG_00477	CDS	123				hypothetical protein
IENKKHDG_00478	CDS	129				hypothetical protein
IENKKHDG_00479	CDS	174				hypothetical protein
IENKKHDG_00480	CDS	174				hypothetical protein
IENKKHDG_00481	CDS	123				hypothetical protein
IENKKHDG_00482	CDS	129				hypothetical protein
IENKKHDG_00483	CDS	174				hypothetical protein
IENKKHDG_00484	CDS	123				hypothetical protein
IENKKHDG_00485	CDS	129				hypothetical protein
IENKKHDG_00486	CDS	174				hypothetical protein
IENKKHDG_00487	CDS	123				hypothetical protein
IENKKHDG_00488	CDS	129				hypothetical protein
IENKKHDG_00489	CDS	174				hypothetical protein
IENKKHDG_00490	CDS	174				hypothetical protein
IENKKHDG_00491	CDS	123				hypothetical protein
IENKKHDG_00492	CDS	129				hypothetical protein
IENKKHDG_00493	CDS	174				hypothetical protein
IENKKHDG_00494	CDS	174				hypothetical protein
IENKKHDG_00495	CDS	123				hypothetical protein
IENKKHDG_00496	CDS	129				hypothetical protein
IENKKHDG_00497	CDS	123				hypothetical protein
IENKKHDG_00498	CDS	129				hypothetical protein
IENKKHDG_00499	CDS	174				hypothetical protein
IENKKHDG_00500	CDS	123				hypothetical protein
IENKKHDG_00501	CDS	129				hypothetical protein
IENKKHDG_00502	CDS	174				hypothetical protein
IENKKHDG_00503	CDS	123				hypothetical protein
IENKKHDG_00504	CDS	129				hypothetical protein
IENKKHDG_00505	CDS	174				hypothetical protein
IENKKHDG_00506	CDS	174				hypothetical protein
IENKKHDG_00507	CDS	129				hypothetical protein
IENKKHDG_00508	CDS	174				hypothetical protein
IENKKHDG_00509	CDS	123				hypothetical protein
IENKKHDG_00510	CDS	129				hypothetical protein
IENKKHDG_00511	CDS	174				hypothetical protein
IENKKHDG_00512	CDS	123				hypothetical protein
IENKKHDG_00513	CDS	129				hypothetical protein
IENKKHDG_00514	CDS	174				hypothetical protein
IENKKHDG_00515	CDS	123				hypothetical protein
IENKKHDG_00516	CDS	129				hypothetical protein
IENKKHDG_00517	CDS	174				hypothetical protein
IENKKHDG_00518	CDS	123				hypothetical protein
IENKKHDG_00519	CDS	129				hypothetical protein
IENKKHDG_00520	CDS	174				hypothetical protein
IENKKHDG_00521	CDS	174				hypothetical protein
IENKKHDG_00522	CDS	123				hypothetical protein
IENKKHDG_00523	CDS	129				hypothetical protein
IENKKHDG_00524	CDS	174				hypothetical protein
IENKKHDG_00525	CDS	123				hypothetical protein
IENKKHDG_00526	CDS	129				hypothetical protein
IENKKHDG_00527	CDS	174				hypothetical protein
IENKKHDG_00528	CDS	123				hypothetical protein
IENKKHDG_00529	CDS	129				hypothetical protein
IENKKHDG_00530	CDS	174				hypothetical protein
IENKKHDG_00531	CDS	123				hypothetical protein
IENKKHDG_00532	CDS	129				hypothetical protein
IENKKHDG_00533	CDS	174				hypothetical protein
IENKKHDG_00534	CDS	123				hypothetical protein
IENKKHDG_00535	CDS	129				hypothetical protein
IENKKHDG_00536	CDS	174				hypothetical protein
IENKKHDG_00537	CDS	123				hypothetical protein
IENKKHDG_00538	CDS	129				hypothetical protein
IENKKHDG_00539	CDS	174				hypothetical protein
IENKKHDG_00540	CDS	123				hypothetical protein
IENKKHDG_00541	CDS	129				hypothetical protein
IENKKHDG_00542	CDS	174				hypothetical protein
IENKKHDG_00543	CDS	123				hypothetical protein
IENKKHDG_00544	CDS	129				hypothetical protein
IENKKHDG_00545	CDS	186				hypothetical protein
IENKKHDG_00546	CDS	102				hypothetical protein
IENKKHDG_00547	CDS	129				hypothetical protein
IENKKHDG_00548	CDS	174				hypothetical protein
IENKKHDG_00549	CDS	123				hypothetical protein
IENKKHDG_00550	CDS	129				hypothetical protein
IENKKHDG_00551	CDS	174				hypothetical protein
IENKKHDG_00552	CDS	123				hypothetical protein
IENKKHDG_00553	CDS	129				hypothetical protein
IENKKHDG_00554	CDS	174				hypothetical protein
IENKKHDG_00555	CDS	123				hypothetical protein
IENKKHDG_00556	CDS	129				hypothetical protein
IENKKHDG_00557	CDS	174				hypothetical protein
